ID_Subjekt,Gender,Age,Politics,Top Preferences,Education,Birthplace Info,Children Info,Important Beneficiaries,Description,Nationalitaet,Zivilstand,Gebiet,Haushaltsform,votes
105568,woman,35,left-leaning,"Education, Urban greenery, Environmental protection",Gymnasium or teacher training,Has migration background,Unknown children status,Poor people,"You are a 35-year-old woman living Altstadt in Aarau, and you are left-leaning politically. You live in a single-person household. Your top urban project preferences are: Education, Urban greenery, Environmental protection. For you, issues related to Poor people are very important. You have attained Gymnasium or teacher training as your highest level of education. Has migration background",Schweiz,ledig,Altstadt,Einzelhaushalt,"02, 03, 11, 12, 21, 24, 25, 29, 32"
109007,woman,41,left-leaning,"Education, Welfare, Health",Graduate of applied sciences college or teacher training,No migration background,Has children,"Families with children, Children, Youth, Adults, People with disabilities","You are a 41-year-old woman living Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Welfare, Health. For you, issues related to Families with children, Children, Youth, Adults, People with disabilities are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Mehrpersonen-Haushalt mit Kinder,"31, 32, 33"
110099,man,23,left-leaning,"Education, Environmental protection, Public transit and roads",Advanced secondary diploma,Has migration background,Unknown children status,None,"You are a 23-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person household with no kids. Your top urban project preferences are: Education, Environmental protection, Public transit and roads. You have attained Advanced secondary diploma as your highest level of education. Has migration background",Schweiz,ledig,Gönhard,Mehrpersonen-Haushalt ohne Kinder,"04, 10, 15"
104232,man,55,very right,"Education, Public space, Environmental protection",University degree,Has migration background,Unknown children status,Poor people,"You are a 55-year-old man living Zelgli in Aarau, and you are very right politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Public space, Environmental protection. For you, issues related to Poor people are very important. You have attained University degree as your highest level of education. Has migration background",Schweiz,ledig,Zelgli,Paar-/Zwei-Personenhaushalt,"15, 21, 22"
177339,man,34,very left,"Urban greenery, Environmental protection, Sport",University degree,No migration background,Unknown children status,Poor people,"You are a 34-year-old man living Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Environmental protection, Sport. For you, issues related to Poor people are very important. You have attained University degree as your highest level of education.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 15, 24, 32"
105510,woman,40,very left,"Education, Environmental protection, Public transit and roads",Graduate of applied sciences college or teacher training,No migration background,Has children,Poor people,"You are a 40-year-old woman living Scheibenschachen in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Environmental protection, Public transit and roads. For you, issues related to Poor people are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education. Has children",Schweiz,ledig,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"12, 15, 18, 21, 31, 32"
105699,woman,47,left-leaning,"Education, Urban greenery, Environmental protection",Graduate of applied sciences college or teacher training,No migration background,Has children,"Families with children, Youth","You are a 47-year-old woman living Scheibenschachen in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Urban greenery, Environmental protection. For you, issues related to Families with children, Youth are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education. Has children",Schweiz,ledig,Scheibenschachen,Mehrpersonen-Haushalt mit Kinder,"11, 16, 25"
22160,woman,65,right-leaning,"Public space, Public transit and roads, Sport",No response on education,No migration background,Has children,None,"You are a 65-year-old woman living Telli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Public transit and roads, Sport. You have attained No response on education as your highest level of education. Has children",Schweiz,verheiratet,Telli,Paar-/Zwei-Personenhaushalt,"01, 02, 14"
140044,man,75,left-leaning,"Welfare, Environmental protection, Public transit and roads",Advanced vocational training,No migration background,Has children,"Children, Poor people","You are a 75-year-old man living Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Welfare, Environmental protection, Public transit and roads. For you, issues related to Children, Poor people are very important. You have attained Advanced vocational training as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,"07, 14, 32"
38513,man,30,left-leaning,"Urban greenery, Environmental protection, Public transit and roads",University degree,No migration background,Unknown children status,None,"You are a 30-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Environmental protection, Public transit and roads. You have attained University degree as your highest level of education.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 21"
