ID,Gender,Age,Politics,Migration Background,Education,Nationality,Marital Status,Household Form,Children Info,Area,Topics,Votes,Description
177763,2,36.0,2.0,2,4,1,1,3,1,12,"['1', '6', '7']","['12', '13', '15', '25']","You are a 36-year-old woman living in Hinterdorf in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, environmental protection, public transit and roads."
113542,1,48.0,5.0,2,4,1,2,3,1,2,"['1', '3', '7']","['08', '29', '30', '31']","You are a 48-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are single. You are live in a big household with children. You have children. Your top urban project preferences are: education, public space, public transit and roads."
105699,2,47.0,2.0,2,4,1,2,3,1,4,"['1', '2', '6']","['11', '16', '25']","You are a 47-year-old woman living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a big household with children. You have children. Your top urban project preferences are: education, urban greenery, environmental protection."
38513,1,30.0,4.0,2,4,1,2,2,2,2,"['2', '6', '7']","['04', '09', '15', '21', '24', '25']","You are a 30-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads."
5266,1,70.0,1.0,2,4,1,1,2,1,2,"['3', '4', '6']","['14', '15', '32']","You are a 70-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public space, welfare, environmental protection."
153065,2,15.0,1.0,2,1,1,2,3,2,5,"['2', '6', '7']","['10', '12', '21', '25', '28', '29']","You are a 15-year-old woman living in Telli in Aarau Switzerland, and you consider yourself very left politically. You are basically educated. You are single. You are live in a big household with children. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads."
50525496,1,30.0,5.0,2,4,1,2,1,2,13,"['2', '3', '7']","['06', '08', '21', '29']","You are a 30-year-old man living in Torfeld Süd in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are single. You are live by yourself. Your top urban project preferences are: urban greenery, public space, public transit and roads."
50529471,2,56.0,1.0,2,3,1,1,2,1,7,"['2', '4', '6']","['11', '12', '16', '21', '22', '25', '30', '31']","You are a 56-year-old woman living in Innenstadt in Aarau Switzerland, and you consider yourself very left politically. You are secondary-educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: urban greenery, welfare, environmental protection."
7573,1,71.0,2.0,2,2,1,1,2,1,2,"['3', '4', '6']","['15', '21']","You are a 71-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are vocationally trained. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public space, welfare, environmental protection."
35827,1,66.0,7.0,2,4,1,1,2,1,9,"['1', '6', '9']","['11', '15', '24', '29']","You are a 66-year-old man living in Goldern in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, environmental protection, health."
