ID_Subjekt,Gender,Age,Politics,Top Preferences,Education,Birthplace Info,Children Info,Important Beneficiaries,Description,Nationalitaet,Zivilstand,Gebiet,Haushaltsform,votes
105568,woman,35,left-leaning,"education, urban greenery, environmental protection",secondary-educated,Has migration background,No children,poor people,"You are a 35-year-old woman living in Altstadt in Aarau, and you are left-leaning politically. You live in a single-person household. You have a migration background. Your top urban project preferences are: education, urban greenery, environmental protection. For you, issues related to poor people are very important.",Schweiz,ledig,Altstadt,Einzelhaushalt,"02, 03, 11, 12, 21, 24, 25, 29, 32"
109007,woman,41,left-leaning,"education, welfare, health",highly educated,No migration background,Has children,"families with children, children, youth, adults, people with disabilities","You are a 41-year-old woman living in Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: education, welfare, health. For you, issues related to families with children, children, youth, adults, people with disabilities are very important. You are highly educated.",Schweiz,verheiratet,Gönhard,Mehrpersonen-Haushalt mit Kinder,"31, 32, 33"
110099,man,23,left-leaning,"education, environmental protection, public transit and roads",secondary-educated,Has migration background,No children,None,"You are a 23-year-old man living in Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person household. You have a migration background. Your top urban project preferences are: education, environmental protection, public transit and roads.",Schweiz,ledig,Gönhard,Mehrpersonen-Haushalt ohne Kinder,"04, 10, 15"
104232,man,55,very right,"education, public space, environmental protection",highly educated,Has migration background,No children,poor people,"You are a 55-year-old man living in Zelgli in Aarau, and you are very right politically. You live in a couple/two-person household. You have a migration background. Your top urban project preferences are: education, public space, environmental protection. For you, issues related to poor people are very important. You are highly educated.",Schweiz,ledig,Zelgli,Paar-/Zwei-Personenhaushalt,"15, 21, 22"
177339,man,34,very left,"urban greenery, environmental protection, sport",highly educated,No migration background,No children,poor people,"You are a 34-year-old man living in Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, environmental protection, sport. For you, issues related to poor people are very important. You are highly educated.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 15, 24, 32"
105510,woman,40,very left,"education, environmental protection, public transit and roads",highly educated,No migration background,Has children,poor people,"You are a 40-year-old woman living in Scheibenschachen in Aarau, and you are very left politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: education, environmental protection, public transit and roads. For you, issues related to poor people are very important. You are highly educated.",Schweiz,ledig,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"12, 15, 18, 21, 31, 32"
105699,woman,47,left-leaning,"education, urban greenery, environmental protection",highly educated,No migration background,Has children,"families with children, youth","You are a 47-year-old woman living in Scheibenschachen in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: education, urban greenery, environmental protection. For you, issues related to families with children, youth are very important. You are highly educated.",Schweiz,ledig,Scheibenschachen,Mehrpersonen-Haushalt mit Kinder,"11, 16, 25"
22160,woman,65,right-leaning,"public space, public transit and roads, sport",no response on education,No migration background,Has children,None,"You are a 65-year-old woman living in Telli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, public transit and roads, sport.",Schweiz,verheiratet,Telli,Paar-/Zwei-Personenhaushalt,"01, 02, 14"
140044,man,75,left-leaning,"welfare, environmental protection, public transit and roads",highly educated,No migration background,Has children,"children, poor people","You are a 75-year-old man living in Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: welfare, environmental protection, public transit and roads. For you, issues related to children, poor people are very important. You are highly educated.",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,"07, 14, 32"
38513,man,30,left-leaning,"urban greenery, environmental protection, public transit and roads",highly educated,No migration background,No children,None,"You are a 30-year-old man living in Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads. You are highly educated.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 21"
5266,man,70,very left,"public space, welfare, environmental protection",highly educated,No migration background,Has children,None,"You are a 70-year-old man living in Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, welfare, environmental protection. You are highly educated.",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"14, 15, 32"
8294,man,60,very right,"education, public transit and roads, sport",highly educated,No migration background,Has children,youth,"You are a 60-year-old man living in Zelgli in Aarau, and you are very right politically. You live in a multi-person household. You have children. Your top urban project preferences are: education, public transit and roads, sport. For you, issues related to youth are very important. You are highly educated.",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt ohne Kinder,"04, 20, 30"
153065,woman,15,very left,"urban greenery, environmental protection, public transit and roads",basically educated,No migration background,No children,None,"You are a 15-year-old woman living in Telli in Aarau, and you are very left politically. You live in a multi-person households with children. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads.",Schweiz,ledig,Telli,Mehrpersonen-Haushalt mit Kinder,"10, 15, 21, 28"
4101868,man,63,right-leaning,"public space, environmental protection, public transit and roads",highly educated,No migration background,Has children,None,"You are a 63-year-old man living in Ausserfeld in Aarau, and you are right-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, environmental protection, public transit and roads. You are highly educated.",Schweiz,geschieden,Ausserfeld,Paar-/Zwei-Personenhaushalt,"15, 17, 30"
7573,man,71,left-leaning,"public space, welfare, environmental protection",vocationally trained,No migration background,Has children,"children, adults, people with disabilities, elderly, poor people","You are a 71-year-old man living in Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, welfare, environmental protection. For you, issues related to children, adults, people with disabilities, elderly, poor people are very important.",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"15, 21"
105031,woman,60,left-leaning,"education, public transit and roads, health",secondary-educated,No migration background,No children,None,"You are a 60-year-old woman living in Telli in Aarau, and you are left-leaning politically. You live in a single-person household. Your top urban project preferences are: education, public transit and roads, health.",Schweiz,ledig,Telli,Einzelhaushalt,"24, 27, 32"
18163,man,77,left-leaning,"public space, welfare, public transit and roads",highly educated,No migration background,No children,None,"You are a 77-year-old man living in Telli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: public space, welfare, public transit and roads. You are highly educated.",Schweiz,ledig,Telli,Paar-/Zwei-Personenhaushalt,"01, 04, 19, 21"
