IDNR,INTERVIEW_MODE,BROWSERNAME,BROWSERVERSION,BROWSEROS,BROWSERMOBILE,S00_SPRACHE,S01_SEX,S02,S02_AGEGRP,S031_AGGLOMERATIONSGROESSENKLASSE,S032_GEMEINDETYPOLOGIE,S033_KANTON,S034_REGIONEN,S035_STADTLAND,S036_GROSSREGIONEN,K00,F01_01,F01_02,F01_03,F02_01,F02_02,F02_03,F02_04,F02_05,F03,F04_01,F04_02,F04_03,F04_04,F04_05,F04_06,A01,A02_01,A02_02,A02_03,A02_04,A03_01,A03_02,A03_03,A03_04,A03_05,A03_06,A03_07,A03_08,A04,A05,A06,A07_01,A07_02,A07_03,A08_01,A08_02,A08_03,A08_04,A08_05,A08_06,A08_07,A08_08,A08_09,A08_09_OTH,A09_01,A09_02,A09_03,A09_04,A09_05,A09_06,A09_07,A10,A10_WNKA,A11_01,A11_02,A11_03,A11_04,A11_05,A11_06,A11_07,A11_08,A11_09,A11_98,A11_99,A12_01,A12_02,A12_03,A12_04,A12_05,A12_06,A12_07,A13_01,A13_02,A13_03,A13_04,A13_05,A13_06,A14_01,A14_02,A14_03,A14_04,A14_05,A14_06,A14_07,A14_98,A14_99,A16_01,A16_02,A16_03,A16_98,A16_99,A16_SEQUENCE,A17,A17_WNKA,A18_01,A18_02,A18_03,A18_98,A18_99,A18_SEQUENCE,A19_01,A19_02,A19_03,A19_98,A19_99,A19_SEQUENCE,A20A_01,A20A_02,A20A_03,A20A_98,A20A_99,A20A_SEQUENCE,A20B_01,A20B_02,A20B_03,A20B_98,A20B_99,A20B_SEQUENCE,A20C_01,A20C_02,A20C_03,A20C_98,A20C_99,A20C_SEQUENCE,A21,A21_TIME,A22_01,A22_02,A22_03,A22_04,A22_05,A22_98,A22_99,A22_TIME,A23_01,A23_02,A23_03,A23_04,A23_05,A23_TIME,A24_01,A24_02,A24_03,A24_04,A24_05,A24_98,A24_99,A24_TOTAL,A24_TIME,A25_01,A25_02,A25_03,A25_04,A25_98,A25_99,A25_SEQUENCE,F05A_01,F05A_02,F05A_03,F05A_04,F05A_05,F05A_06,F05B_01,F05B_02,F06,K01,K02,K03,K04,K06,K07,K07_WNKA,K08,K08_WNKA,INTERVIEWSTART,INTERVIEWENDE,DAUER,ID_Subjekt,Geschlecht,Nationalitaet,Einwohnerstatus,Zivilstand,GEBMONATJAHR,AlterZP,Gebiet,Anzahl_Personen_Haushalt,Haushaltsform
1510514,1,iPhone,16.1,iOS,1,1,1,49,2,4,12,19,1,1,3,1,2,2,2,3,2,2,3,3,5,8,7,4,5,3,3,2009,1,1,1,5,4,4,4,2,6,3,9,5,4,5,5,1,2,1,5,5,5,4,3,4,4,5,3,-,2,3,3,4,3,2,4,Mehr Freizeitangebote (Pumptrack etc) für Jugendli,100,0,0,1,0,0,1,0,1,0,0,0,3,4,4,2,3,3,4,5,1,4,2,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,,98,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,5,18,0,0,0,0,1,0,0,9,2,3,4,4,3,-1,1,1,0,1,0,0,0,CHF 30000.00,16,0,0,1,0,0,0,3,4,4,4,4,5,5,5,1,4,12,1,1,1,1,,98,,99,07.01.2023 08:58,07.01.2023 09:10,725,102185,männlich,Schweiz,Niederlassung CH,verheiratet,4.1973,49,Zelgli,4,Mehrpersonen-Haushalt mit Kinder
1510522,1,iPhone,16.1,iOS,1,1,1,51,2,4,12,19,1,1,3,1,2,2,1,3,2,3,3,4,3,8,9,1,1,6,6,23,1,2,2,5,6,6,8,8,10,6,9,8,5,5,6,1,2,2,4,5,5,5,3,5,3,4,5,Förderung der Vereinbarkeit von Beruf und Familie,3,1,5,5,1,4,5,Verfügbarkeit von bezahlbarem Wohnraum,100,1,0,1,0,0,0,0,0,1,0,0,5,5,5,4,4,4,3,4,1,5,2,1,2,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1;3;2,Budgetausschöpfung darf zu Beginn kein Kriterium s,100,1,0,0,0,0,1,1,1,1,0,0,1;2;3,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,3,39,0,0,1,0,1,0,0,51,2,3,5,5,5,-1,1,0,1,0,0,0,0,CHF 35000.00,32,1,1,1,1,0,0,3;2;4;1,5,5,5,5,5,4,5,1,4,13,1,1,1,2,,#NULL!,"Schade, dass die briefliche Info unklar war.",100,07.01.2023 09:22,07.01.2023 12:12,1312,109384,männlich,Schweiz,Niederlassung CH,verheiratet,1.1971,51,Binzenhof,4,Mehrpersonen-Haushalt mit Kinder
1510527,1,Chrome,108,Windows,2,1,2,35,2,4,12,19,1,1,3,1,2,2,2,3,4,3,3,3,2,8,7,99,6,7,6,25,1,3,98,5,7,9,8,6,7,2,6,6,5,5,5,1,2,1,3,4,5,5,5,5,3,5,99,,3,2,4,2,2,4,4,,98,1,1,0,0,0,1,0,0,0,0,0,3,4,4,3,4,4,5,4,2,4,2,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,3;1;2,"+ Möglichst viele zufriedene
- Budgetkampf",100,1,1,1,0,0,1;3;2,1,1,1,0,0,1;2;3,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,5,25,1,1,1,0,0,0,0,34,4,3,1,3,5,-1,1,0,1,1,0,0,0,CHF 50000.00,26,1,1,1,1,0,0,1;2;3;4,5,5,5,5,5,5,4,1,4,9,1,2,2,1,,98,Mehr Freitext zulassen nächstes Mal,100,07.01.2023 09:48,07.01.2023 10:08,1011,105568,weiblich,Schweiz,Niederlassung CH,ledig,3.1987,35,Altstadt,1,Einzelhaushalt
1510531,1,Chrome,92,Android,1,1,2,72,3,4,12,19,1,1,3,1,-1,-1,2,2,1,2,2,2,10,2,0,0,2,2,1,17,1,1,3,4,1,1,1,0,4,0,10,1,3,2,5,2,2,2,5,4,1,3,3,1,4,1,98,,5,5,1,1,2,1,1,Littering,100,0,0,1,0,0,0,1,0,1,0,0,3,2,1,3,2,5,5,1,1,5,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,3;1;2,,98,1,1,1,0,0,1;2;3,1,1,1,0,0,1;2;3,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,1,45,1,0,0,0,0,0,0,10,5,4,1,1,1,-1,1,0,0,0,0,0,0,CHF 5000.00,42,1,0,0,0,0,0,1,3,5,4,5,4,5,1,5,1,2,1,1,2,2,,#NULL!,Zu komplizierte Fragen,100,07.01.2023 09:56,07.01.2023 10:27,1843,4104131,weiblich,Schweiz,Niederlassung CH,verheiratet,7.1949,73,Ausserfeld,2,Paar-/Zwei-Personenhaushalt
1510541,1,Firefox,108,Windows,2,1,2,36,2,4,12,19,1,1,3,1,1,2,1,3,3,3,3,3,2,4,3,5,8,6,5,10,1,1,1,5,6,6,7,6,5,3,8,6,4,5,6,1,2,2,3,4,5,4,3,4,2,3,99,,3,1,5,4,2,4,4,Keine öffentliche Musikschule in Aarau,100,1,0,0,0,0,1,1,0,0,0,0,5,4,4,3,2,2,3,4,2,5,2,4,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1;2;3,Das Projekt mit den meisten Stimmen sollte dabei s,100,0,0,0,1,0,,1,0,0,0,0,1,1,1,1,0,0,1;2;3,1,1,1,0,0,1;2;3,1,1,1,0,0,1;2;3,5,16,0,0,0,0,1,0,0,14,2,2,3,4,5,-1,1,0,0,0,1,0,0,CHF 45000.00,18,1,1,1,1,0,0,3;2;1;4,5,4,5,5,5,5,5,1,4,13,1,1,1,1,,98,Die Bewertungsmethoden sind sehr kompliziert.,100,07.01.2023 10:33,07.01.2023 10:57,1014,177763,weiblich,Schweiz,Niederlassung CH,verheiratet,11.1986,36,Hinterdorf,6,Mehrpersonen-Haushalt mit Kinder
1510546,1,iPhone,15.7,iOS,1,1,2,41,2,4,12,19,1,1,3,1,1,1,2,3,3,3,3,3,3,7,8,6,4,6,7,25,1,1,1,5,7,7,8,5,6,4,8,8,4,6,6,2,2,1,3,4,5,4,5,4,4,4,99,,3,2,5,5,1,2,3,Quartierzentrum mit Café fehlt,100,1,0,0,1,0,0,0,0,1,0,0,5,5,5,5,5,3,3,3,3,5,3,4,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,3,,99,1,1,1,0,0,3;1;2,1,1,1,0,0,1;2;3,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,5,16,1,1,1,1,1,0,0,18,2,3,4,4,5,-1,0,0,0,0,1,0,0,CHF 40000.00,20,0,0,1,0,0,0,3,5,5,4,5,5,5,5,1,4,12,1,1,1,1,,98,Die Fragen sind für ungeübte Lesende zu komplizier,100,07.01.2023 10:50,07.01.2023 11:09,943,109007,weiblich,Schweiz,Niederlassung CH,verheiratet,2.1981,41,Gönhard,6,Mehrpersonen-Haushalt mit Kinder
1510561,1,Chrome,108,Android,1,1,1,24,1,4,12,19,1,1,3,1,1,1,1,3,3,2,3,3,3,5,2,99,5,7,7,24,1,2,1,5,7,7,99,4,5,3,7,7,5,5,5,1,2,1,4,4,5,5,4,5,4,5,5,Kultur,3,1,4,3,1,1,4,,98,0,1,0,1,1,0,0,0,0,0,0,4,3,4,4,5,4,4,4,99,5,2,2,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,3;1;2,Das Projekt soll möglichst vielen Leuten dienen,100,0,0,0,0,1,,0,0,0,0,1,,0,0,0,1,0,,0,0,0,1,0,,0,0,0,1,0,,4,38,1,1,1,1,1,0,0,40,4,4,4,5,4,-1,1,0,1,1,0,0,0,CHF 50000.00,39,1,1,1,1,0,0,3;2;4;1,4,3,4,4,5,5,5,2,3,5,1,1,2,1,,98,,99,07.01.2023 11:54,07.01.2023 12:48,2618,106340,männlich,Schweiz,Niederlassung CH,ledig,9.1998,24,Telli,3,Mehrpersonen-Haushalt ohne Kinder
1510562,1,iPhone,16.1,iOS,1,1,1,83,4,4,12,19,1,1,3,1,2,2,1,3,4,4,3,3,7,6,7,6,6,8,8,5,1,1,1,4,8,8,8,6,6,6,7,8,5,7,7,2,2,1,5,5,5,4,5,5,4,5,5,,4,3,2,3,2,4,2,,97,1,0,0,1,0,0,0,0,1,0,0,4,3,3,3,3,4,4,4,2,5,3,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,,99,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,1,26,1,1,0,0,1,0,0,23,4,4,2,3,4,-1,0,0,0,0,1,0,0,CHF 40000.00,12,1,0,0,0,0,0,1,5,4,3,3,3,3,5,2,3,11,1,2,1,1,,97,,99,07.01.2023 12:03,07.01.2023 12:23,1194,112748,männlich,Schweiz,Ortsbürger/in,verheiratet,5.1939,83,Telli,2,Paar-/Zwei-Personenhaushalt
1510565,1,iPhone,16,iOS,1,1,1,48,2,4,12,19,1,1,3,1,1,1,2,3,3,3,4,3,3,8,3,3,4,5,6,22,1,1,2,5,5,8,6,9,7,5,6,6,3,5,6,2,2,2,2,4,5,5,5,5,4,4,5,Strategien umsetzen,4,3,4,4,2,2,2,Energiestadt sollte mehr sein als nur Fördergelder,100,0,1,0,1,0,0,1,0,0,0,0,4,3,3,5,4,5,4,4,2,5,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,5,13,1,1,1,1,1,0,0,11,3,3,3,3,3,-1,0,1,0,1,0,0,0,CHF 25000.00,66,0,1,0,1,0,0,4;2,4,4,3,4,5,4,5,1,4,11,1,1,1,1,,98,,99,07.01.2023 12:40,07.01.2023 13:48,3918,112511,männlich,Schweiz,Niederlassung CH,verheiratet,11.1974,48,Gönhard,4,Mehrpersonen-Haushalt mit Kinder
1510570,1,iPhone,15.6,iOS,1,1,1,66,3,4,12,19,1,1,3,1,2,2,2,4,3,3,4,4,2,7,5,3,5,7,6,3,1,1,1,5,7,7,9,6,7,1,5,8,3,5,6,1,2,1,4,5,5,5,4,4,3,4,3,,1,1,5,3,3,4,5,Busse gehören nicht in die Altstadt,100,1,0,0,0,1,0,0,1,0,0,0,4,5,5,3,4,3,3,4,1,1,3,1,3,1,0,0,1,1,1,0,0,0,1,1,1,0,0,3;2;1,Am demokratischsten,100,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,4,42,0,0,0,1,1,0,0,24,1,3,3,4,5,-1,0,0,1,1,0,0,0,CHF 45000.00,39,0,0,1,0,0,0,3,4,2,4,4,5,5,1,2,2,5,1,1,1,1,,98,,99,07.01.2023 12:55,07.01.2023 13:32,1899,50530847,männlich,Schweiz,Aufenthalt/Nebenniederlassung,geschieden,2.1956,66,Tannengut,1,Einzelhaushalt
