ID,1st Topic,1st Score,2nd Topic,2nd Score,3rd Topic,3rd Score,District,How Connected,District Importance,Topic Importance,Cost Importance,Likelihood Importance,Description
QGVT6BFJ,Culture,43,Nature,33,Transport,24,West,A moderate amount,Moderately important,Slightly important,Moderately important,Moderately important,"You are a university student from West district in Zurich. You prefer Culture projects, have a low interest in Nature projects, and have a low interest in Transport projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Moderately important, the urban category Slightly important, and the cost of the project Moderately important."
YK3TDKDG,Transport,60,Nature,30,Culture,10,Nord,A lot,Moderately important,Very important,Not important at all,Moderately important,"You are a university student from Nord district in Zurich. You strongly prefer Transport projects, have a low interest in Nature projects, and have a low interest in Culture projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Moderately important, the urban category Very important, and the cost of the project Not important at all."
GBXNVPT3,Nature,50,Transport,30,Culture,20,Nord,A lot,Extremely important,Very important,Not important at all,Slightly important,"You are a university student from Nord district in Zurich. You prefer Nature projects, have a low interest in Transport projects, and have a low interest in Culture projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Extremely important, the urban category Very important, and the cost of the project Not important at all."
Q3XX1WEM,Transport,48,Nature,31,Culture,21,Nord,A lot,Extremely important,Very important,Moderately important,Very important,"You are a university student from Nord district in Zurich. You prefer Transport projects, have a low interest in Nature projects, and have a low interest in Culture projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Extremely important, the urban category Very important, and the cost of the project Moderately important."
VYWXL1Y7,Transport,50,Nature,35,Culture,15,Ost,A moderate amount,Very important,Very important,Not important at all,Moderately important,"You are a university student from Ost district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Very important, the urban category Very important, and the cost of the project Not important at all."
9FL7WKHB,Culture,50,Transport,25,Nature,25,Süd,A moderate amount,Very important,Moderately important,Not important at all,Moderately important,"You are a university student from Süd district in Zurich. You prefer Culture projects, have a low interest in Transport projects, and have a low interest in Nature projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Very important, the urban category Moderately important, and the cost of the project Not important at all."
Z9WAJKGN,Transport,40,Culture,35,Nature,25,Nord,A lot,Moderately important,Extremely important,Slightly important,Not important at all,"You are a university student from Nord district in Zurich. You prefer Transport projects, prefer Culture projects, and have a low interest in Nature projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Moderately important, the urban category Extremely important, and the cost of the project Slightly important."
S9ECLWWP,Transport,48,Nature,46,Culture,6,Ost,A lot,Extremely important,Extremely important,Not important at all,Not important at all,"You are a university student from Ost district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Extremely important, the urban category Extremely important, and the cost of the project Not important at all."
HB147SX9,Culture,40,Nature,40,Transport,20,Nord,A great deal,Very important,Moderately important,Slightly important,Slightly important,"You are a university student from Nord district in Zurich. You prefer Culture projects, prefer Nature projects, and have a low interest in Transport projects. You feel connected A great deal to the city. When deciding on projects, you find the district to be Very important, the urban category Moderately important, and the cost of the project Slightly important."
HJN3ASHT,Transport,43,Nature,42,Culture,15,Ost,A great deal,Very important,Not important at all,Not important at all,Not important at all,"You are a university student from Ost district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A great deal to the city. When deciding on projects, you find the district to be Very important, the urban category Not important at all, and the cost of the project Not important at all."
69FGJ7YL,Transport,40,Nature,35,Culture,25,Nord,A lot,Slightly important,Very important,Very important,Moderately important,"You are a university student from Nord district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Slightly important, the urban category Very important, and the cost of the project Very important."
UWYHTA6P,Nature,70,Transport,20,Culture,10,Nord,A great deal,Moderately important,Extremely important,Not important at all,Not important at all,"You are a university student from Nord district in Zurich. You strongly prefer Nature projects, have a low interest in Transport projects, and have a low interest in Culture projects. You feel connected A great deal to the city. When deciding on projects, you find the district to be Moderately important, the urban category Extremely important, and the cost of the project Not important at all."
R3E7WUKL,Transport,40,Nature,40,Culture,20,Ost,A lot,Moderately important,Very important,Very important,Moderately important,"You are a university student from Ost district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Moderately important, the urban category Very important, and the cost of the project Very important."
TZE63P5P,Culture,34,Transport,33,Nature,33,Ost,A lot,Extremely important,Very important,Not important at all,Not important at all,"You are a university student from Ost district in Zurich. You prefer Culture projects, have a low interest in Transport projects, and have a low interest in Nature projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Extremely important, the urban category Very important, and the cost of the project Not important at all."
AN4E34N9,Transport,35,Nature,35,Culture,30,Ost,A moderate amount,Very important,Extremely important,Slightly important,Moderately important,"You are a university student from Ost district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Very important, the urban category Extremely important, and the cost of the project Slightly important."
