Rank,Votes,Id,Name,District,Category,Cost
1,120,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
2,99,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
3,98,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
4,97,#24,Car-free Langstrasse,West,Transportation,10000
5,91,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
6,78,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
7,65,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
8,51,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
9,44,#9,Environmental Film Session for Kids,Süd,Culture,5000
10,29,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
11,23,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
12,23,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
13,22,#15,Plant Festival in the City Centre,Ost,Culture,5000
14,10,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
15,9,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
16,7,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
17,7,#12,Car Sharing System for Young People,Süd,Transportation,10000
18,7,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
19,5,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
20,4,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
21,3,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
22,3,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
23,3,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
24,2,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
