Rank,Votes,Id,Name,District,Category,Cost
1,98,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
2,92,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
3,79,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
4,70,#15,Plant Festival in the City Centre,Ost,Culture,5000
5,68,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
6,66,#24,Car-free Langstrasse,West,Transportation,10000
7,62,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
8,58,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
9,57,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
10,49,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
11,45,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
12,41,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
13,35,#12,Car Sharing System for Young People,Süd,Transportation,10000
14,29,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
15,11,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
16,9,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
17,8,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
18,8,#9,Environmental Film Session for Kids,Süd,Culture,5000
19,5,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
20,4,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
21,4,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
22,1,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
23,1,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
24,0,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
