Rank,Votes,Id,Name,District,Category,Cost
1,129,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
2,128,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
3,110,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
4,109,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
5,107,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
6,106,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
7,100,#24,Car-free Langstrasse,West,Transportation,10000
8,98,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
9,89,#12,Car Sharing System for Young People,Süd,Transportation,10000
10,83,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
11,80,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
12,79,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
13,74,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
14,69,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
15,67,#15,Plant Festival in the City Centre,Ost,Culture,5000
16,66,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
17,63,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
18,62,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
19,55,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
20,52,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
21,51,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
22,46,#9,Environmental Film Session for Kids,Süd,Culture,5000
23,44,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
24,41,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
