Rank,Votes,Id,Name,District,Category,Cost
1,82,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
2,68,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
3,67,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
4,67,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
5,65,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
6,63,#24,Car-free Langstrasse,West,Transportation,10000
7,62,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
8,59,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
9,42,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
10,40,#12,Car Sharing System for Young People,Süd,Transportation,10000
11,32,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
12,32,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
13,30,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
14,28,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
15,26,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
16,19,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
17,19,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
18,18,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
19,18,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
20,17,#15,Plant Festival in the City Centre,Ost,Culture,5000
21,15,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
22,14,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
23,9,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
24,8,#9,Environmental Film Session for Kids,Süd,Culture,5000
