Rank,Votes,Id,Name,District,Category,Cost
1,173,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
2,170,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
3,151,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
4,134,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
5,61,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
6,41,#24,Car-free Langstrasse,West,Transportation,10000
7,32,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
8,20,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
9,12,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
10,11,#12,Car Sharing System for Young People,Süd,Transportation,10000
11,10,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
12,7,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
13,4,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
14,3,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
15,3,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
16,2,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
17,2,#9,Environmental Film Session for Kids,Süd,Culture,5000
18,2,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
19,2,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
20,2,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
21,1,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
22,1,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
23,0,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
24,0,#15,Plant Festival in the City Centre,Ost,Culture,5000
