Rank,Votes,Id,Name,District,Category,Cost
1,475,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
2,398,#24,Car-free Langstrasse,West,Transportation,10000
3,239,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
4,225,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
5,210,#12,Car Sharing System for Young People,Süd,Transportation,10000
6,162,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
7,157,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
8,146,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
9,142,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
10,125,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
11,79,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
12,73,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
13,55,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
14,53,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
15,52,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
16,48,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
17,31,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
18,15,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
19,7,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
20,5,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
21,2,#9,Environmental Film Session for Kids,Süd,Culture,5000
22,1,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
23,0,#15,Plant Festival in the City Centre,Ost,Culture,5000
24,0,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
