Rank,Votes,Id,Name,District,Category,Cost
1,161,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
2,114,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
3,82,#9,Environmental Film Session for Kids,Süd,Culture,5000
4,77,#15,Plant Festival in the City Centre,Ost,Culture,5000
5,77,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
6,72,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
7,67,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
8,53,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
9,36,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
10,31,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
11,28,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
12,26,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
13,25,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
14,14,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
15,12,#24,Car-free Langstrasse,West,Transportation,10000
16,6,#12,Car Sharing System for Young People,Süd,Transportation,10000
17,4,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
18,4,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
19,3,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
20,3,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
21,3,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
22,2,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
23,0,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
24,0,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
