Rank,Votes,Id,Name,District,Category,Cost
1,106,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
2,90,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
3,77,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
4,76,#24,Car-free Langstrasse,West,Transportation,10000
5,71,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
6,68,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
7,64,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
8,62,#9,Environmental Film Session for Kids,Süd,Culture,5000
9,53,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
10,40,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
11,36,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
12,27,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
13,25,#15,Plant Festival in the City Centre,Ost,Culture,5000
14,19,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
15,14,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
16,13,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
17,12,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
18,11,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
19,8,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
20,8,#12,Car Sharing System for Young People,Süd,Transportation,10000
21,6,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
22,5,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
23,4,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
24,2,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
