Rank,Votes,Id,Name,District,Category,Cost
1,146,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
2,132,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
3,122,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
4,99,#9,Environmental Film Session for Kids,Süd,Culture,5000
5,97,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
6,92,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
7,84,#24,Car-free Langstrasse,West,Transportation,10000
8,75,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
9,61,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
10,59,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
11,39,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
12,34,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
13,30,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
14,26,#15,Plant Festival in the City Centre,Ost,Culture,5000
15,23,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
16,22,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
17,20,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
18,16,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
19,15,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
20,10,#12,Car Sharing System for Young People,Süd,Transportation,10000
21,7,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
22,5,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
23,4,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
24,3,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
