Rank,Votes,Id,Name,District,Category,Cost
1,285.2408909269488,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
2,178.58389552745453,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
3,138.49292625831865,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
4,128.90694894257118,#24,Car-free Langstrasse,West,Transportation,10000
5,123.75753354029199,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
6,97.60673670192449,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
7,94.66375373852156,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
8,91.81095520892264,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
9,91.22716702615074,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
10,86.47771525467553,#9,Environmental Film Session for Kids,Süd,Culture,5000
11,66.88736594502848,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
12,58.29923529772604,#15,Plant Festival in the City Centre,Ost,Culture,5000
13,56.92285398677241,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
14,42.17164122427281,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
15,32.19525617141717,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
16,30.582803161750533,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
17,25.594595445833836,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
18,13.619568430552413,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
19,13.458327190525331,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
20,10.043631806789703,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
21,5.9332334332334336,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
22,5.0,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
23,3.3791208791208796,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
24,3.2300420168067223,#12,Car Sharing System for Young People,Süd,Transportation,10000
