Rank,Votes,Id,Name,District,Category,Cost
1,406,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
2,345,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
3,245,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
4,199,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
5,171,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
6,150,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
7,145,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
8,130,#9,Environmental Film Session for Kids,Süd,Culture,5000
9,122,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
10,115,#15,Plant Festival in the City Centre,Ost,Culture,5000
11,99,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
12,94,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
13,81,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
14,76,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
15,60,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
16,48,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
17,45,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
18,36,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
19,32,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
20,28,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
21,27,#24,Car-free Langstrasse,West,Transportation,10000
22,21,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
23,16,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
24,9,#12,Car Sharing System for Young People,Süd,Transportation,10000
