Rank,Votes,Id,Name,District,Category,Cost
1,166,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
2,107,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
3,92,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
4,84,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
5,63,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
6,61,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
7,57,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
8,44,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
9,36,#15,Plant Festival in the City Centre,Ost,Culture,5000
10,35,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
11,32,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
12,24,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
13,20,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
14,14,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
15,14,#12,Car Sharing System for Young People,Süd,Transportation,10000
16,11,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
17,10,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
18,10,#24,Car-free Langstrasse,West,Transportation,10000
19,6,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
20,6,#9,Environmental Film Session for Kids,Süd,Culture,5000
21,6,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
22,1,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
23,1,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
24,0,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
