Rank,Votes,Id,Name,District,Category,Cost
1,177,#24,Car-free Langstrasse,West,Transportation,10000
2,126,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
3,113,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
4,107,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
5,89,#12,Car Sharing System for Young People,Süd,Transportation,10000
6,78,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
7,46,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
8,32,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
9,29,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
10,18,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
11,18,#9,Environmental Film Session for Kids,Süd,Culture,5000
12,15,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
13,11,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
14,10,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
15,10,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
16,5,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
17,5,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
18,4,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
19,3,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
20,3,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
21,1,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
22,0,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
23,0,#15,Plant Festival in the City Centre,Ost,Culture,5000
24,0,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
